"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"08/30/2024","396327","344717","194363"
"08/31/2024","404377","362671","162990"
"09/01/2024","309696","267459","159215"
"09/02/2024","330023","282581","167858"
"09/03/2024","412944","350025","196703"
"09/04/2024","341029","282024","186109"
"09/05/2024","319577","261545","179993"
"09/06/2024","386116","327088","192272"
"09/07/2024","549227","494240","194424"
"09/08/2024","461125","404831","220966"
"09/09/2024","336521","276040","200660"
"09/10/2024","354017","287669","188857"
"09/11/2024","346822","282910","191929"
"09/12/2024","373052","318443","201915"
"09/13/2024","423487","371028","211021"
"09/14/2024","439205","384673","211019"
"09/15/2024","471937","429376","248142"
"09/16/2024","338583","289953","188954"
"09/17/2024","370332","315357","177764"
"09/18/2024","282717","230717","165438"
"09/19/2024","270594","221632","164013"
"09/20/2024","273630","223812","160436"
"09/21/2024","280774","233986","145790"
"09/22/2024","304008","257850","144835"
"09/23/2024","264930","216531","156741"
"09/24/2024","280867","233528","160243"
"09/25/2024","279464","227493","166935"
"09/26/2024","314796","259653","174354"
"09/27/2024","339492","276192","191620"
"09/28/2024","393547","330753","191345"
"09/29/2024","331610","278940","163206"
"09/30/2024","383689","319067","196648"
"10/01/2024","467107","342900","286338"
"10/02/2024","375412","304849","213498"
"10/03/2024","425795","342160","222736"
"10/04/2024","363518","305591","196020"
"10/05/2024","325991","266779","176068"
"10/06/2024","313676","265251","161586"
"10/07/2024","308897","253691","175696"
"10/08/2024","287239","230148","176360"
"10/09/2024","295359","235979","181166"
"10/10/2024","324750","268196","185238"
"10/11/2024","372823","296341","214360"
"10/12/2024","313680","247507","183025"
"10/13/2024","317996","271094","158827"
"10/14/2024","343595","286628","185807"
"10/15/2024","375602","312343","210540"
"10/16/2024","355046","291452","195099"
"10/17/2024","393547","342153","215178"
"10/18/2024","387717","318883","240331"
"10/19/2024","422589","356440","224907"
"10/20/2024","354861","288414","198516"
"10/21/2024","350945","291413","193466"
"10/22/2024","340341","285390","186317"
"10/23/2024","317176","262672","180101"
"10/24/2024","320783","267880","179026"
"10/25/2024","340964","283709","187611"
"10/26/2024","344229","284273","172117"
"10/27/2024","280314","232890","145948"
"10/28/2024","330362","279186","166166"
"10/29/2024","315009","258208","183773"
"10/30/2024","304576","250704","171891"
"10/31/2024","367533","305896","185785"
"11/01/2024","363133","301352","197003"
"11/02/2024","345222","281177","178465"
"11/03/2024","316866","246844","178388"
"11/04/2024","317638","258293","184684"
"11/05/2024","342431","281918","185748"
"11/06/2024","321185","254944","200791"
"11/07/2024","341235","279538","210283"
"11/08/2024","342021","261246","219976"
"11/09/2024","309557","249494","185361"
"11/10/2024","323361","253600","196961"
"11/11/2024","356088","280073","211075"
"11/12/2024","344699","274249","209460"
"11/13/2024","329990","265459","197454"
"11/14/2024","353523","264795","228925"
"11/15/2024","414533","325833","225760"
"11/16/2024","363791","286324","208034"
"11/17/2024","373919","302539","199933"
"11/18/2024","343772","272120","206319"
"11/19/2024","331362","261039","201914"
"11/20/2024","348949","275288","206860"
"11/21/2024","355458","280161","209809"
"11/22/2024","380750","297368","229380"
"11/23/2024","410843","339128","223092"
"11/24/2024","379323","305617","206131"
"11/25/2024","351369","272990","216707"
"11/26/2024","352365","283553","203012"
"11/27/2024","366160","283228","219282"
"11/28/2024","435348","326605","243639"
"11/29/2024","402420","314517","225796"
"11/30/2024","352366","276287","205235"
"12/01/2024","380982","307604","202384"
"12/02/2024","384250","306496","222983"
"12/03/2024","384583","301119","231866"
"12/04/2024","378779","297778","225462"
"12/05/2024","382623","301492","225676"
"12/06/2024","386911","301323","226880"
"12/07/2024","422752","337692","220023"
"12/08/2024","414197","313122","232196"
"12/09/2024","392549","324132","240660"
"12/10/2024","410998","320157","239054"
"12/11/2024","373100","299790","212326"
"12/12/2024","362320","287675","210530"
"12/13/2024","370906","299574","199891"
"12/14/2024","360731","287783","198490"
"12/15/2024","350712","279987","190030"
"12/16/2024","356763","285233","208086"
"12/17/2024","376428","287143","225740"
"12/18/2024","355955","284041","214802"
"12/19/2024","374426","303282","218383"
"12/20/2024","359904","285300","212154"
"12/21/2024","396935","303542","217213"
"12/22/2024","369278","287222","203257"
"12/23/2024","384646","300754","215583"
"12/24/2024","405854","325629","203077"
"12/25/2024","429965","348276","195242"
"12/26/2024","361384","287986","193953"
"12/27/2024","345528","275266","199660"
"12/28/2024","362297","289153","194079"
"12/29/2024","358593","284655","193603"
"12/30/2024","361658","285552","206839"
"12/31/2024","348601","262992","209284"
