"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"08/22/2024","428727","355651","209513"
"08/23/2024","443090","369910","214661"
"08/24/2024","465093","397297","190333"
"08/25/2024","378491","313042","178761"
"08/26/2024","441466","369785","202447"
"08/27/2024","445413","373111","211028"
"08/28/2024","436212","360611","211407"
"08/29/2024","461830","386936","214899"
"08/30/2024","454553","386837","210258"
"08/31/2024","411841","348134","186537"
"09/01/2024","396092","332266","185868"
"09/02/2024","410882","343307","196532"
"09/03/2024","422073","350568","203945"
"09/04/2024","400492","327760","201798"
"09/05/2024","400767","333344","204073"
"09/06/2024","414281","342696","210998"
"09/07/2024","414715","347943","200728"
"09/08/2024","445586","371610","197789"
"09/09/2024","431000","363832","196250"
"09/10/2024","439142","359991","211722"
"09/11/2024","475674","396196","214536"
"09/12/2024","435968","368413","198168"
"09/13/2024","433588","364301","203917"
"09/14/2024","431599","367435","183144"
"09/15/2024","431242","370667","172860"
"09/16/2024","377646","314189","188786"
"09/17/2024","414775","349662","190602"
"09/18/2024","375229","311168","193789"
"09/19/2024","378490","307517","210003"
"09/20/2024","375256","303496","206971"
"09/21/2024","346294","283304","181423"
"09/22/2024","348741","283716","181376"
"09/23/2024","364690","293533","197461"
"09/24/2024","380661","305591","205795"
"09/25/2024","388879","315338","209968"
"09/26/2024","398592","323533","211983"
"09/27/2024","453885","368387","233495"
"09/28/2024","443408","365478","208831"
"09/29/2024","430421","352173","207273"
"09/30/2024","443410","367573","223704"
"10/01/2024","508879","431815","239496"
"10/02/2024","439373","364287","209914"
"10/03/2024","440936","369076","213216"
"10/04/2024","429055","351427","213490"
"10/05/2024","393808","323785","198774"
"10/06/2024","366750","298946","182926"
"10/07/2024","396360","324051","208002"
"10/08/2024","394111","320724","210551"
"10/09/2024","437970","365070","209115"
"10/10/2024","409787","339188","206558"
"10/11/2024","448881","378412","235084"
"10/12/2024","432368","361893","203552"
"10/13/2024","373009","301488","191684"
"10/14/2024","445805","363076","230530"
"10/15/2024","471822","388452","234435"
"10/16/2024","441316","362366","225875"
"10/17/2024","493350","417431","235171"
"10/18/2024","509962","433837","232389"
"10/19/2024","522838","445355","228176"
"10/20/2024","481774","404431","220592"
"10/21/2024","488364","407751","228441"
"10/22/2024","479007","394320","236058"
"10/23/2024","467815","389279","232842"
"10/24/2024","444135","364926","219838"
"10/25/2024","451667","370466","218827"
"10/26/2024","438640","357593","216427"
"10/27/2024","378029","313364","175159"
"10/28/2024","408283","332568","204266"
"10/29/2024","478382","397860","220260"
"10/30/2024","403124","324745","212964"
"10/31/2024","422419","340696","220768"
"11/01/2024","429173","354531","214617"
"11/02/2024","422039","347965","197812"
"11/03/2024","448544","374943","198389"
"11/04/2024","419703","347354","202871"
"11/05/2024","421930","349523","210267"
"11/06/2024","437831","355524","228544"
"11/07/2024","472869","390595","233584"
"11/08/2024","481617","399227","242138"
"11/09/2024","442402","364044","215212"
"11/10/2024","471174","380850","233270"
"11/11/2024","516513","416577","258148"
"11/12/2024","504778","404193","263041"
"11/13/2024","486862","388783","267253"
"11/14/2024","504697","408080","272191"
"11/15/2024","498179","407321","254530"
"11/16/2024","509330","414576","259758"
"11/17/2024","493759","404827","250915"
"11/18/2024","488779","399778","244323"
"11/19/2024","484422","394944","245047"
"11/20/2024","515109","422500","256575"
"11/21/2024","527345","427901","268136"
"11/22/2024","545741","435939","289524"
"11/23/2024","517856","422535","265271"
"11/24/2024","482746","395400","235335"
"11/25/2024","532913","435516","267974"
"11/26/2024","514611","421775","251782"
"11/27/2024","530243","440900","253408"
"11/28/2024","532339","442390","252039"
"11/29/2024","529681","439533","254204"
"11/30/2024","500569","410763","244694"
"12/01/2024","494224","404327","246643"
"12/02/2024","539151","430576","291154"
"12/03/2024","541235","439203","282917"
"12/04/2024","539137","435191","276287"
"12/05/2024","555076","448856","282005"
"12/06/2024","543114","437458","283566"
"12/07/2024","522868","428116","257250"
"12/08/2024","512728","415743","255190"
"12/09/2024","522460","418136","284327"
"12/10/2024","560668","457506","303721"
"12/11/2024","539704","439097","279026"
"12/12/2024","582237","469402","293656"
"12/13/2024","543929","442685","271219"
"12/14/2024","530418","433475","260870"
"12/15/2024","505538","416219","240696"
"12/16/2024","529139","429085","268973"
"12/17/2024","570467","461879","287457"
"12/18/2024","536046","437486","268315"
"12/19/2024","521988","429525","258666"
"12/20/2024","549892","459073","258921"
"12/21/2024","539391","455428","236356"
"12/22/2024","556191","467047","244005"
"12/23/2024","576173","484415","255768"
"12/24/2024","563598","479494","239626"
"12/25/2024","520989","440564","234153"
"12/26/2024","498068","414997","234022"
"12/27/2024","508127","422066","248528"
"12/28/2024","479413","399540","238750"
"12/29/2024","490176","409604","237377"
"12/30/2024","506843","418045","254666"
"12/31/2024","490940","413228","254667"
